# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  145       5.539400820490e-10       1.466354843836e-13      -6.006075726862e-12       0.000000000000e+00       3.911884211364e-12       6.870521303409e-13      -4.366272952638e-15 
  146       5.583420130291e-10       1.462635699960e-13      -6.025516528774e-12       0.000000000000e+00       3.835640674687e-12       6.765533927591e-13      -4.301800683983e-15 
  147       5.627249664212e-10       1.458293154988e-13      -6.041993853390e-12       0.000000000000e+00       3.761203387434e-12       6.662623468000e-13      -4.236841181434e-15 
  148       5.670878619913e-10       1.453335425710e-13      -6.055460542266e-12       0.000000000000e+00       3.688567285332e-12       6.561784690049e-13      -4.171440324791e-15 
  149       5.714295812310e-10       1.447771710163e-13      -6.065870814282e-12       0.000000000000e+00       3.617720717999e-12       6.463003676376e-13      -4.105644193915e-15 
  150       5.757489665544e-10       1.441612205078e-13      -6.073180305349e-12       0.000000000000e+00       3.548645292131e-12       6.366257617297e-13      -4.039499048799e-15 
  151       5.800448204943e-10       1.434868123321e-13      -6.077346108121e-12       0.000000000000e+00       3.481315714684e-12       6.271514601258e-13      -3.973051309630e-15 
  152       5.843159048993e-10       1.427551711339e-13      -6.078326811709e-12       0.000000000000e+00       3.415699636064e-12       6.178733405291e-13      -3.906347536858e-15 
  153       5.885609401301e-10       1.419676266603e-13      -6.076082541387e-12       0.000000000000e+00       3.351757493316e-12       6.087863285469e-13      -3.839434411262e-15 
  154       5.927786042559e-10       1.411256155054e-13      -6.070574998305e-12       0.000000000000e+00       3.289442353303e-12       5.998843767360e-13      -3.772358714015e-15 
  155       5.969675322517e-10       1.402306828544e-13      -6.061767499201e-12       0.000000000000e+00       3.228699755901e-12       5.911604436481e-13      -3.705167306755e-15 
  156       6.011263151941e-10       1.392844842283e-13      -6.049625016109e-12       0.000000000000e+00       3.169467557181e-12       5.826064728754e-13      -3.637907111646e-15 
  157       6.052534994586e-10       1.382887872279e-13      -6.034114216074e-12       0.000000000000e+00       3.111675772597e-12       5.742133720959e-13      -3.570625091448e-15 
  158       6.093475859158e-10       1.372454732789e-13      -6.015203500858e-12       0.000000000000e+00       3.055246420169e-12       5.659709921186e-13      -3.503368229583e-15 
  159       6.134070291278e-10       1.361565393756e-13      -5.992863046654e-12       0.000000000000e+00       3.000093363679e-12       5.578681059296e-13      -3.436183510200e-15 
  160       6.174302365456e-10       1.350240998257e-13      -5.967064843796e-12       0.000000000000e+00       2.946122155845e-12       5.498923877371e-13      -3.369117898244e-15 
  161       6.214156791641e-10       1.338503396039e-13      -5.937782619660e-12       0.000000000000e+00       2.893249390861e-12       5.420331968639e-13      -3.302216616491e-15 
  162       6.253622361733e-10       1.326373661154e-13      -5.904991516341e-12       0.000000000000e+00       2.841463014424e-12       5.342902500772e-13      -3.235517847279e-15 
  163       6.292688793922e-10       1.313873475964e-13      -5.868668460233e-12       0.000000000000e+00       2.790767072210e-12       5.266656796991e-13      -3.169057521957e-15 
