#scalar perturbations for mode k = 1.000000000000e-04 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_scf             19:theta_scf             20:omega_scf             21:delta0_scf            22:delta1_scf         
       1.044353036710e-01       2.253322283813e-07      -3.635478535526e-11      -3.163488402654e-21       1.272873066148e-17       3.182182665371e-17       7.258787911999e-29       6.364365330741e-18      -2.726608901644e-11      -3.163488400583e-21       6.011156774758e-01       6.994277995134e-01      -3.635478535521e-11      -4.685516390333e-21       4.370795791729e-12      -2.726608901653e-11       0.000000000000e+00      -1.415242558294e-14      -1.471814811028e-23       1.481604759467e-10      -1.415242558294e-14      -1.148454730711e-12 
       1.092924426330e-01       2.358127638228e-07      -3.981497107450e-11      -3.625693818691e-21       1.458864509876e-17       3.647161274690e-17       9.111333918681e-29       7.294322549380e-18      -2.986122830588e-11      -3.625693816089e-21       6.011147775664e-01       6.994263048364e-01      -3.981497107444e-11      -5.370138308935e-21       4.786805697149e-12      -2.986122830598e-11       0.000000000000e+00      -1.861240160574e-14      -2.023939248696e-23       1.481590544572e-10      -1.861240160574e-14      -1.377863267128e-12 
       1.141495815950e-01       2.462934047122e-07      -4.343241409487e-11      -4.130857070992e-21       1.662145638937e-17       4.155364097342e-17       1.132418684332e-28       8.310728194683e-18      -3.257431057115e-11      -4.130857067757e-21       6.011137608745e-01       6.994246488051e-01      -4.343241409479e-11      -6.118396873673e-21       5.221723079039e-12      -3.257431057127e-11       0.000000000000e+00      -2.419335444496e-14      -2.745062420442e-23       1.481574927334e-10      -2.419335444496e-14      -1.640141460987e-12 
       1.190067205570e-01       2.567741613735e-07      -4.720711211067e-11      -4.680886475822e-21       1.883485143685e-17       4.708712859212e-17       1.394752745997e-28       9.417425718425e-18      -3.540533408300e-11      -4.680886471837e-21       6.011126107883e-01       6.994228099648e-01      -4.720711211058e-11      -6.933119980570e-21       5.675547765993e-12      -3.540533408314e-11       0.000000000000e+00      -3.111344423891e-14      -3.676379962262e-23       1.481557793978e-10      -3.111344423891e-14      -1.938328424362e-12 
       1.238638595189e-01       2.672550449410e-07      -5.113906264831e-11      -5.277690267174e-21       2.123651720689e-17       5.309129301722e-17       1.703599504978e-28       1.061825860344e-17      -3.835429698623e-11      -5.277690262304e-21       6.011113186665e-01       6.994207760041e-01      -5.113906264820e-11      -7.817135487885e-21       6.148279574378e-12      -3.835429698639e-11       0.000000000000e+00      -3.962263851909e-14      -4.866814643221e-23       1.481539029486e-10      -3.962263851909e-14      -2.275610252480e-12 
       1.287209984809e-01       2.777360673657e-07      -5.522826301280e-11      -5.923176594490e-21       2.383414057484e-17       5.958535143711e-17       2.064887747158e-28       1.191707028742e-17      -4.142119725960e-11      -5.923176588586e-21       6.011098823631e-01       6.994185419711e-01      -5.522826301268e-11      -8.773271213020e-21       6.639918300332e-12      -4.142119725979e-11       0.000000000000e+00      -5.000617795620e-14      -6.374079108959e-23       1.481518518390e-10      -5.000617795620e-14      -2.655323280328e-12 
       1.346600207374e-01       2.905518491063e-07      -6.044198062912e-11      -6.781380082767e-21       2.728787560747e-17       6.821968901868e-17       2.587315565118e-28       1.364393780374e-17      -4.533148547184e-11      -6.781380075367e-21       6.011079037235e-01       6.994155039255e-01      -6.044198062897e-11      -1.004451090983e-20       7.266757666619e-12      -4.533148547207e-11       0.000000000000e+00      -6.572658876847e-14      -8.747296124392e-23       1.481490897310e-10      -6.572658876847e-14      -3.182383131022e-12 
       1.405990429938e-01       3.033678825761e-07      -6.589079124170e-11      -7.718709295508e-21       3.106013674186e-17       7.765034185464e-17       3.210516832165e-28       1.553006837093e-17      -4.941809343127e-11      -7.718709286323e-21       6.011056770517e-01       6.994121200277e-01      -6.589079124152e-11      -1.143297437311e-20       7.921863842196e-12      -4.941809343154e-11       0.000000000000e+00      -8.541873382798e-14      -1.184289496107e-22       1.481460285725e-10      -8.541873382798e-14      -3.784814824378e-12 
       1.465380652502e-01       3.161841945322e-07      -7.157468834124e-11      -8.738651990665e-21       3.516498235228e-17       8.791245588071e-17       3.948417827119e-28       1.758249117614e-17      -5.368101625593e-11      -8.738651979367e-21       6.011031825340e-01       6.994083619108e-01      -7.157468834104e-11      -1.294383086829e-20       8.605236292933e-12      -5.368101625625e-11       0.000000000000e+00      -1.098739525495e-13      -1.583666435185e-22       1.481426482423e-10      -1.098739525495e-13      -4.469690177505e-12 
       1.524770875067e-01       3.290008134386e-07      -7.749366496519e-11      -9.844695706956e-21       3.961647161904e-17       9.904117904759e-17       4.816173500186e-28       1.980823580952e-17      -5.812024872389e-11      -9.844695693172e-21       6.011004108039e-01       6.994042131162e-01      -7.749366496495e-11      -1.458224952722e-20       9.316874444615e-12      -5.812024872427e-11       0.000000000000e+00      -1.400076336313e-13      -2.093761520569e-22       1.481389295496e-10      -1.400076336313e-13      -5.244464303415e-12 
