# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
# All scalar field variables are dimensionless. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_scf            16:(.)p_scf              17:Omega_phi_scf         18:theta_phi_scf         19:y_phi_scf             20:gr.fac. D             21:gr.fac. f          
       3.043225393375e+08       8.161450181559e-15       1.523020111563e-03       1.998152684230e+11       1.416504034088e+04       4.654614254066e-05       4.310741060521e+12       8.793155883189e-04       2.360019297397e+22       6.908995005219e+16       1.431162044362e+14       3.492912981895e-08       1.632587928778e+22       3.992614149494e+22       1.259278054201e+11      -1.259278053584e+11      -2.648234363072e+01       3.130892325564e-05       1.565445936485e-04       5.798973634048e-07       1.999998786176e+00 
       3.022070896962e+08       8.276110362023e-15       1.533681246656e-03       1.970469569293e+11       1.416504033022e+04       4.687196550415e-05       4.280775627791e+12       8.854707913665e-04       2.295079172725e+22       6.765913902771e+16       1.401523545139e+14       3.492912981895e-08       1.587664370844e+22       3.882750323511e+22       1.259278054188e+11      -1.259278053554e+11      -2.645444118784e+01       3.174878215927e-05       1.587438876879e-04       5.880443364916e-07       1.999998777680e+00 
       3.001063452659e+08       8.392381402662e-15       1.544417011246e-03       1.943169986117e+11       1.416504031949e+04       4.720006922791e-05       4.251018494990e+12       8.916690807502e-04       2.231925990980e+22       6.625795923302e+16       1.372498841286e+14       3.492912981895e-08       1.543976964434e+22       3.775909594948e+22       1.259278054175e+11      -1.259278053522e+11      -2.642653874504e+01       3.219482063728e-05       1.609740795890e-04       5.963057662982e-07       1.999998769123e+00 
       2.980202038257e+08       8.510285934435e-15       1.555227925564e-03       1.916248621115e+11       1.416504030868e+04       4.753046967725e-05       4.221468214156e+12       8.979107580730e-04       2.170510581251e+22       6.488579702329e+16       1.344075221472e+14       3.492912981895e-08       1.501491694642e+22       3.672008777927e+22       1.259278054161e+11      -1.259278053490e+11      -2.639863630233e+01       3.264712550642e-05       1.632356034356e-04       6.046832608248e-07       1.999998760507e+00 
       2.959485638652e+08       8.629846906244e-15       1.566114515299e-03       1.889700234317e+11       1.416504029779e+04       4.786318292924e-05       4.192123347389e+12       9.041961270494e-04       2.110785125654e+22       6.354205146191e+16       1.316240237610e+14       3.492912981895e-08       1.460175482543e+22       3.570966975577e+22       1.259278054147e+11      -1.259278053457e+11      -2.637073385970e+01       3.310578480317e-05       1.655288994095e-04       6.131784506623e-07       1.999998751831e+00 
       2.938913245798e+08       8.751087589400e-15       1.577077313414e-03       1.863519658348e+11       1.416504028683e+04       4.819822517348e-05       4.162982466786e+12       9.105254935197e-04       2.052703122097e+22       6.222613405730e+16       1.288981699406e+14       3.492912981895e-08       1.419996159437e+22       3.472705517050e+22       1.259278054132e+11      -1.259278053423e+11      -2.634283141716e+01       3.357088780079e-05       1.678544138770e-04       6.217929893099e-07       1.999998743093e+00 
       2.918483858653e+08       8.874031582151e-15       1.588116849234e-03       1.837701797426e+11       1.416504027579e+04       4.853561271293e-05       4.134044154370e+12       9.168991654651e-04       1.996219348077e+22       6.093746850519e+16       1.262287669020e+14       3.492912981895e-08       1.380922441804e+22       3.377147896263e+22       1.259278054117e+11      -1.259278053387e+11      -2.631492897471e+01       3.404252502676e-05       1.702125994753e-04       6.305285534966e-07       1.999998734295e+00 
       2.898196483137e+08       8.998702814279e-15       1.599233661182e-03       1.812241626366e+11       1.416504026467e+04       4.887536196464e-05       4.105307002021e+12       9.233174530227e-04       1.941289825469e+22       5.967549043622e+16       1.236146455837e+14       3.492912981895e-08       1.342923906943e+22       3.284219712335e+22       1.259278054102e+11      -1.259278053351e+11      -2.628702653235e+01       3.452078828039e-05       1.726039152006e-04       6.393868435079e-07       1.999998725435e+00 
       2.878050132078e+08       9.125125551753e-15       1.610428293134e-03       1.787134189606e+11       1.416504025348e+04       4.921748946059e-05       4.076769611405e+12       9.297806685005e-04       1.887871786283e+22       5.843964716878e+16       1.210546611347e+14       3.492912981895e-08       1.305970969291e+22       3.193848611657e+22       1.259278054086e+11      -1.259278053314e+11      -2.625912409007e+01       3.500577065065e-05       1.750288264976e-04       6.483695835164e-07       1.999998716513e+00 
       2.858043825168e+08       9.253324401453e-15       1.621701285330e-03       1.762374600236e+11       1.416504024220e+04       4.956201184847e-05       4.048430593913e+12       9.362891263926e-04       1.835923639367e+22       5.722939746695e+16       1.185476924133e+14       3.492912981895e-08       1.270034857383e+22       3.105964231557e+22       1.259278054069e+11      -1.259278053276e+11      -2.623122164789e+01       3.549756653434e-05       1.774878053499e-04       6.574785219175e-07       1.999998707529e+00 
