# Matter power spectrum P(k) at redshift z=0
# for k=1.045e-05 to 14.8025 h/Mpc,
# number of wavenumbers equal to 618
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.120038420322e-01       8.974370244649e+02 
       3.152176896092e-01       8.820905308537e+02 
       3.184315378569e-01       8.668975600138e+02 
       3.216453867551e-01       8.516302688398e+02 
       3.248592362844e-01       8.361784316550e+02 
       3.280730864261e-01       8.204909375898e+02 
       3.312869371624e-01       8.045924152292e+02 
       3.345007884760e-01       7.885909761724e+02 
       3.377146403504e-01       7.726083007239e+02 
       3.409284927696e-01       7.567940586191e+02 
       3.441423457183e-01       7.412802612826e+02 
       3.473561991817e-01       7.262070019561e+02 
       3.505700531456e-01       7.116583408940e+02 
       3.537839075964e-01       6.977191125039e+02 
       3.569977625207e-01       6.844438026489e+02 
       3.602116179060e-01       6.718499661020e+02 
       3.634254737398e-01       6.599261873773e+02 
       3.666393300103e-01       6.486155581054e+02 
       3.698531867062e-01       6.378313403882e+02 
       3.730670438163e-01       6.274853949915e+02 
       3.762809013301e-01       6.174557544744e+02 
       3.794947592371e-01       6.076537624802e+02 
       3.827086175275e-01       5.980028829777e+02 
       3.859224761917e-01       5.884541719082e+02 
       3.891363352203e-01       5.789753011014e+02 
       3.923501946043e-01       5.695467526438e+02 
       3.955640543351e-01       5.601633954233e+02 
       3.987779144043e-01       5.508333300285e+02 
       4.019917748036e-01       5.415753089510e+02 
       4.052056355252e-01       5.324264478289e+02 
       4.084194965615e-01       5.234244773013e+02 
       4.116333579051e-01       5.146092249772e+02 
       4.148472195487e-01       5.060242826304e+02 
       4.180610814856e-01       4.976950212849e+02 
       4.212749437088e-01       4.896287144706e+02 
       4.244888062119e-01       4.818333419835e+02 
       4.277026689885e-01       4.742835616556e+02 
       4.309165320326e-01       4.669811902201e+02 
       4.341303953381e-01       4.599163004369e+02 
       4.373442588993e-01       4.530562936051e+02 
       4.405581227105e-01       4.463997327552e+02 
       4.437719867663e-01       4.399087939932e+02 
       4.469858510614e-01       4.335659324864e+02 
       4.501997155907e-01       4.273305875241e+02 
       4.534135803491e-01       4.211880610159e+02 
       4.566274453318e-01       4.151270704804e+02 
       4.598413105341e-01       4.091280162290e+02 
       4.630551759515e-01       4.032022716152e+02 
       4.662690415793e-01       3.973495684491e+02 
       4.694829074134e-01       3.915744611066e+02 
       4.726967734494e-01       3.858892223010e+02 
       4.759106396833e-01       3.802985308965e+02 
       4.791245061110e-01       3.748049979772e+02 
       4.823383727288e-01       3.694214165450e+02 
       4.855522395328e-01       3.641544300169e+02 
       4.887661065192e-01       3.590208731022e+02 
       4.919799736846e-01       3.540200028639e+02 
       4.951938410255e-01       3.491542186821e+02 
       4.984077085383e-01       3.444119833619e+02 
       5.016215762199e-01       3.397902083189e+02 
       5.048354440670e-01       3.352678128022e+02 
       5.080493120764e-01       3.308400208436e+02 
       5.112631802450e-01       3.264987195007e+02 
       5.144770485700e-01       3.222329022480e+02 
       5.176909170482e-01       3.180407814080e+02 
       5.209047856770e-01       3.139158329498e+02 
       5.241186544535e-01       3.098508674722e+02 
       5.273325233750e-01       3.058415558332e+02 
       5.305463924388e-01       3.018845972764e+02 
       5.337602616425e-01       2.979813735776e+02 
       5.369741309834e-01       2.941357146746e+02 
       5.401880004592e-01       2.903536819658e+02 
       5.434018700673e-01       2.866399635420e+02 
       5.466157398055e-01       2.829962161711e+02 
       5.498296096716e-01       2.794228518153e+02 
       5.530434796631e-01       2.759168720731e+02 
       5.562573497781e-01       2.724762030843e+02 
       5.594712200142e-01       2.690996095065e+02 
       5.626850903696e-01       2.657881327161e+02 
       5.658989608420e-01       2.625414187484e+02 
       5.691128314296e-01       2.593587855704e+02 
       5.723267021304e-01       2.562370930333e+02 
